city;month;avg_mth_en_consumption_house_kwh;energy_price_eur_kwh;solar_panel_brand;solar_panel_power_kwh;solar_panel_efficiency_%
tirana;7;454;0.081;jinko_solar;405;0.8
tirana;8;440;0.081;jinko_solar;405;0.8
tirana;9;387;0.081;jinko_solar;405;0.8
tirana;10;343;0.081;jinko_solar;405;0.8
tirana;11;299;0.081;jinko_solar;405;0.8
tirana;12;282;0.081;jinko_solar;405;0.8
valletta;1;275;0.134;jinko_solar;405;0.8
valletta;2;275;0.134;jinko_solar;405;0.8
valletta;3;296;0.134;jinko_solar;405;0.8
valletta;4;334;0.134;jinko_solar;405;0.8
valletta;5;358;0.134;jinko_solar;405;0.8
valletta;6;385;0.134;jinko_solar;405;0.8
valletta;7;438;0.134;jinko_solar;405;0.8
valletta;8;456;0.134;jinko_solar;405;0.8
valletta;9;418;0.134;jinko_solar;405;0.8
valletta;10;377;0.134;jinko_solar;405;0.8
valletta;11;334;0.134;jinko_solar;405;0.8
valletta;12;290;0.134;jinko_solar;405;0.8
vienna;1;466;0.206;jinko_solar;405;0.8
vienna;2;429;0.206;jinko_solar;405;0.8
vienna;3;440;0.206;jinko_solar;405;0.8
vienna;4;488;0.206;jinko_solar;405;0.8
vienna;5;532;0.206;jinko_solar;405;0.8
vienna;6;569;0.206;jinko_solar;405;0.8
vienna;7;611;0.206;jinko_solar;405;0.8
vienna;8;597;0.206;jinko_solar;405;0.8
vienna;9;536;0.206;jinko_solar;405;0.8
vienna;10;488;0.206;jinko_solar;405;0.8
vienna;11;451;0.206;jinko_solar;405;0.8
vienna;12;429;0.206;jinko_solar;405;0.8
vilnius;1;327;0.200;jinko_solar;405;0.8
vilnius;2;299;0.200;jinko_solar;405;0.8
vilnius;3;306;0.200;jinko_solar;405;0.8
vilnius;4;338;0.200;jinko_solar;405;0.8
vilnius;5;383;0.200;jinko_solar;405;0.8
vilnius;6;414;0.200;jinko_solar;405;0.8
vilnius;7;456;0.200;jinko_solar;405;0.8
vilnius;8;438;0.200;jinko_solar;405;0.8
vilnius;9;396;0.200;jinko_solar;405;0.8
vilnius;10;360;0.200;jinko_solar;405;0.8
vilnius;11;327;0.200;jinko_solar;405;0.8
vilnius;12;306;0.200;jinko_solar;405;0.8
warsaw;1;405;0.126;jinko_solar;405;0.8
warsaw;2;375;0.126;jinko_solar;405;0.8
warsaw;3;383;0.126;jinko_solar;405;0.8
warsaw;4;405;0.126;jinko_solar;405;0.8
warsaw;5;451;0.126;jinko_solar;405;0.8
warsaw;6;486;0.126;jinko_solar;405;0.8
warsaw;7;529;0.126;jinko_solar;405;0.8
warsaw;8;508;0.126;jinko_solar;405;0.8
warsaw;9;446;0.126;jinko_solar;405;0.8
warsaw;10;405;0.126;jinko_solar;405;0.8
warsaw;11;375;0.126;jinko_solar;405;0.8
warsaw;12;364;0.126;jinko_solar;405;0.8
zagreb;1;366;0.1170;jinko_solar;405;0.8
