,city,month,latitude,longitude,hours_of_sun,temp,humidity,precip,cloudcover,avg_mth_en_consumption_house_kwh,energy_price_eur_kwh,solar_panel_power_kwh,monthly_energy_produced_kwh,montlhy_energy_cost_eur,montlhy_solar_panel_cost_saved,money_saved,encoded_city,country
167,ljubljana,12,46.051,14.503,269.89722222222224,4.054838709677419,86.11935483870967,5.988741935483871,92.18064516129031,241,0.1533,405,8.547209709677421,36.945299999999996,1.3102872484935486,4.0,13,slovenia
168,london,1,51.506,-0.127,261.69222222222226,5.961290322580646,82.69999999999999,0.5427096774193548,55.71612903225807,585,0.25,405,46.93441563870969,146.25,11.733603909677422,8.0,14,united kingdom
169,london,2,51.50600000000001,-0.127,279.8877777777778,8.307142857142857,74.89285714285714,1.8432857142857142,56.964285714285715,535,0.25,405,48.78294026785715,133.75,12.195735066964287,9.0,14,united kingdom
170,london,3,51.506,-0.127,369.04083333333335,9.33548387096774,72.46774193548387,1.097,47.87096774193548,544,0.25,405,77.91285309677419,136.0,19.478213274193546,14.0,14,united kingdom
171,london,4,51.506,-0.127,416.7972222222222,11.013333333333332,64.31,0.6198,42.70333333333333,514,0.25,405,96.7184206125,128.5,24.179605153125,19.0,14,united kingdom
172,london,5,51.506,-0.127,484.5836111111111,14.77741935483871,69.06774193548387,1.218290322580645,49.60967741935484,506,0.25,405,98.89421414879033,126.5,24.72355353719758,20.0,14,united kingdom
173,london,6,51.506,-0.127,496.5958333333334,17.403333333333332,64.35333333333332,0.7650666666666666,39.86666666666667,519,0.25,405,120.94094925,129.75,30.2352373125,23.0,14,united kingdom
174,london,7,51.506,-0.127,498.8727777777778,21.23548387096774,55.88387096774194,0.007612903225806452,41.064516129032256,539,0.25,405,119.07529962096775,134.75,29.76882490524194,22.0,14,united kingdom
175,london,8,51.506,-0.127,451.0391666666667,21.203225806451613,61.60322580645161,2.244870967741935,37.119354838709675,533,0.25,405,114.86461686169356,133.25,28.71615421542339,22.0,14,united kingdom
176,london,9,51.506,-0.127,379.0761111111111,15.993333333333334,73.12666666666668,1.6979,54.50333333333333,497,0.25,405,69.84913284750002,124.25,17.462283211875004,14.0,14,united kingdom
177,london,10,51.506,-0.127,330.5447222222222,14.37741935483871,80.83548387096775,2.1957741935483868,51.86129032258064,529,0.25,405,64.44358549475805,132.25,16.110896373689513,12.0,14,united kingdom
178,london,11,51.506,-0.127,266.55916666666667,10.57,85.08333333333333,3.623266666666667,66.09666666666666,580,0.25,405,36.600839336250004,145.0,9.150209834062501,6.0,14,united kingdom
179,london,12,51.506,-0.127,245.57583333333335,5.525806451612904,85.42903225806451,1.4361290322580644,63.07741935483871,616,0.25,405,36.722538718548385,154.0,9.180634679637096,6.0,14,united kingdom
180,luxembourg,1,49.61,6.13,269.5666666666667,2.1258064516129034,91.88064516129033,2.0126774193548385,64.65806451612903,349,0.1696,405,38.58438135483871,59.1904,6.5439110777806455,11.0,15,luxembourg
181,luxembourg,2,49.61,6.13,283.75138888888887,4.7749999999999995,81.44285714285715,2.2437142857142858,64.86785714285715,316,0.1696,405,40.373617037946424,53.5936,6.8473654496357135,13.0,15,luxembourg
182,luxembourg,3,49.61,6.13,369.34555555555556,6.95483870967742,59.53548387096774,0.7659032258064515,33.83548387096774,322,0.1696,405,98.97215836935484,54.611200000000004,16.78567805944258,31.0,15,luxembourg
183,luxembourg,4,49.61,6.13,413.115,8.843333333333334,66.29,0.30493333333333333,56.99,297,0.1696,405,71.9607084075,50.3712,12.204536145911998,24.0,15,luxembourg
184,luxembourg,5,49.61,6.13,476.80916666666667,15.506451612903225,62.983870967741936,0.8916129032258064,46.62903225806452,306,0.1696,405,103.0634549455645,51.8976,17.47956195876774,34.0,15,luxembourg
185,luxembourg,6,49.61,6.13,486.76500000000004,18.48,66.15666666666667,1.3876,45.373333333333335,322,0.1696,405,107.69091507,54.611200000000004,18.264379195872,33.0,15,luxembourg
